failureId,structureId,failureType,severity,occurredAt,resolvedAt,cause
F-071,STR-015,CORROSION,CRITICAL,2024-01-06 11:00:00,2024-01-08 07:00:00,THERMAL_STRESS due to environmental stress
F-093,STR-017,FATIGUE,MEDIUM,2024-01-07 16:00:00,2024-01-08 22:00:00,CORROSION due to environmental stress
F-031,STR-010,FATIGUE,MEDIUM,2024-01-07 21:00:00,2024-01-09 17:00:00,LEAK due to environmental stress
F-101,STR-018,LEAK,LOW,2024-01-07 22:00:00,2024-01-08 20:00:00,FATIGUE due to environmental stress
F-095,STR-017,OVERLOAD,CRITICAL,2024-01-08 02:00:00,2024-01-09 21:00:00,OVERLOAD due to environmental stress
F-011,STR-004,THERMAL_STRESS,MEDIUM,2024-01-10 10:00:00,2024-01-11 01:00:00,LEAK due to environmental stress
F-124,STR-020,LEAK,HIGH,2024-01-10 14:00:00,2024-01-11 07:00:00,LEAK due to environmental stress
F-035,STR-010,OVERLOAD,HIGH,2024-01-11 00:00:00,2024-01-13 00:00:00,OVERLOAD due to environmental stress
F-127,STR-020,THERMAL_STRESS,MEDIUM,2024-01-12 06:00:00,2024-01-13 22:00:00,LEAK due to environmental stress
F-126,STR-020,LEAK,CRITICAL,2024-01-12 06:00:00,2024-01-15 06:00:00,CORROSION due to environmental stress
F-022,STR-008,THERMAL_STRESS,MEDIUM,2024-01-13 01:00:00,2024-01-15 20:00:00,FATIGUE due to environmental stress
F-115,STR-019,THERMAL_STRESS,HIGH,2024-01-13 05:00:00,2024-01-15 02:00:00,CORROSION due to environmental stress
F-015,STR-005,FATIGUE,MEDIUM,2024-01-13 12:00:00,2024-01-15 13:00:00,OVERLOAD due to environmental stress
F-086,STR-016,FATIGUE,CRITICAL,2024-01-14 16:00:00,2024-01-16 17:00:00,CORROSION due to environmental stress
F-037,STR-010,THERMAL_STRESS,LOW,2024-01-15 22:00:00,2024-01-16 23:00:00,LEAK due to environmental stress
F-067,STR-015,OVERLOAD,CRITICAL,2024-01-16 04:00:00,2024-01-17 05:00:00,OVERLOAD due to environmental stress
F-025,STR-009,LEAK,HIGH,2024-01-16 13:00:00,2024-01-19 13:00:00,OVERLOAD due to environmental stress
F-018,STR-007,CORROSION,CRITICAL,2024-01-17 07:00:00,2024-01-18 10:00:00,CORROSION due to environmental stress
F-087,STR-016,CORROSION,MEDIUM,2024-01-19 13:00:00,2024-01-21 17:00:00,CORROSION due to environmental stress
F-032,STR-010,LEAK,HIGH,2024-01-20 03:00:00,2024-01-21 04:00:00,THERMAL_STRESS due to environmental stress
F-001,STR-001,OVERLOAD,CRITICAL,2024-01-20 09:00:00,2024-01-22 22:00:00,FATIGUE due to environmental stress
F-125,STR-020,FATIGUE,CRITICAL,2024-01-20 12:00:00,2024-01-23 11:00:00,CORROSION due to environmental stress
F-081,STR-016,CORROSION,HIGH,2024-01-20 18:00:00,2024-01-22 03:00:00,LEAK due to environmental stress
F-116,STR-019,CORROSION,HIGH,2024-01-21 14:00:00,2024-01-23 10:00:00,THERMAL_STRESS due to environmental stress
F-024,STR-009,THERMAL_STRESS,LOW,2024-01-21 18:00:00,2024-01-23 07:00:00,THERMAL_STRESS due to environmental stress
F-085,STR-016,LEAK,CRITICAL,2024-01-21 18:00:00,2024-01-22 05:00:00,LEAK due to environmental stress
F-106,STR-018,FATIGUE,MEDIUM,2024-01-25 18:00:00,2024-01-27 14:00:00,FATIGUE due to environmental stress
F-041,STR-011,FATIGUE,MEDIUM,2024-01-26 05:00:00,2024-01-28 15:00:00,LEAK due to environmental stress
F-007,STR-003,OVERLOAD,MEDIUM,2024-01-27 08:00:00,2024-01-29 20:00:00,LEAK due to environmental stress
F-074,STR-015,THERMAL_STRESS,LOW,2024-01-27 14:00:00,2024-01-28 12:00:00,CORROSION due to environmental stress
F-082,STR-016,OVERLOAD,HIGH,2024-01-27 19:00:00,2024-01-28 15:00:00,FATIGUE due to environmental stress
F-047,STR-012,FATIGUE,LOW,2024-01-28 18:00:00,2024-01-30 09:00:00,THERMAL_STRESS due to environmental stress
F-088,STR-016,LEAK,CRITICAL,2024-01-28 23:00:00,2024-01-31 23:00:00,CORROSION due to environmental stress
F-104,STR-018,CORROSION,LOW,2024-01-29 01:00:00,2024-01-30 15:00:00,FATIGUE due to environmental stress
F-076,STR-016,CORROSION,HIGH,2024-01-29 01:00:00,2024-01-30 16:00:00,OVERLOAD due to environmental stress
F-099,STR-018,LEAK,HIGH,2024-01-30 06:00:00,2024-02-02 01:00:00,FATIGUE due to environmental stress
F-100,STR-018,LEAK,MEDIUM,2024-01-30 09:00:00,2024-01-31 20:00:00,LEAK due to environmental stress
F-021,STR-008,FATIGUE,LOW,2024-01-30 09:00:00,2024-01-31 18:00:00,LEAK due to environmental stress
F-080,STR-016,OVERLOAD,MEDIUM,2024-01-31 00:00:00,2024-02-01 01:00:00,CORROSION due to environmental stress
F-084,STR-016,FATIGUE,HIGH,2024-01-31 02:00:00,2024-02-01 15:00:00,THERMAL_STRESS due to environmental stress
F-058,STR-014,FATIGUE,MEDIUM,2024-01-31 04:00:00,2024-01-31 13:00:00,CORROSION due to environmental stress
F-109,STR-019,LEAK,LOW,2024-02-01 20:00:00,2024-02-03 05:00:00,OVERLOAD due to environmental stress
F-033,STR-010,OVERLOAD,HIGH,2024-02-01 22:00:00,2024-02-03 23:00:00,THERMAL_STRESS due to environmental stress
F-068,STR-015,CORROSION,HIGH,2024-02-02 02:00:00,2024-02-04 13:00:00,THERMAL_STRESS due to environmental stress
F-056,STR-013,OVERLOAD,LOW,2024-02-02 16:00:00,2024-02-05 10:00:00,LEAK due to environmental stress
F-012,STR-005,THERMAL_STRESS,CRITICAL,2024-02-02 17:00:00,2024-02-03 15:00:00,OVERLOAD due to environmental stress
F-010,STR-004,FATIGUE,MEDIUM,2024-02-03 00:00:00,2024-02-03 15:00:00,FATIGUE due to environmental stress
F-009,STR-004,FATIGUE,MEDIUM,2024-02-03 02:00:00,2024-02-05 03:00:00,THERMAL_STRESS due to environmental stress
F-114,STR-019,LEAK,MEDIUM,2024-02-03 20:00:00,2024-02-04 21:00:00,FATIGUE due to environmental stress
F-079,STR-016,FATIGUE,LOW,2024-02-03 20:00:00,2024-02-04 10:00:00,OVERLOAD due to environmental stress
F-005,STR-003,THERMAL_STRESS,LOW,2024-02-05 01:00:00,2024-02-06 13:00:00,FATIGUE due to environmental stress
F-110,STR-019,OVERLOAD,LOW,2024-02-05 05:00:00,2024-02-05 20:00:00,CORROSION due to environmental stress
F-129,STR-020,LEAK,LOW,2024-02-05 22:00:00,2024-02-07 00:00:00,THERMAL_STRESS due to environmental stress
F-078,STR-016,FATIGUE,LOW,2024-02-07 02:00:00,2024-02-09 20:00:00,LEAK due to environmental stress
F-098,STR-017,OVERLOAD,HIGH,2024-02-07 07:00:00,2024-02-08 04:00:00,FATIGUE due to environmental stress
F-029,STR-009,FATIGUE,MEDIUM,2024-02-08 04:00:00,2024-02-10 06:00:00,LEAK due to environmental stress
F-092,STR-017,THERMAL_STRESS,HIGH,2024-02-08 10:00:00,2024-02-10 03:00:00,THERMAL_STRESS due to environmental stress
F-020,STR-008,CORROSION,CRITICAL,2024-02-08 14:00:00,2024-02-10 08:00:00,OVERLOAD due to environmental stress
F-002,STR-001,THERMAL_STRESS,LOW,2024-02-08 16:00:00,2024-02-09 20:00:00,LEAK due to environmental stress
F-113,STR-019,CORROSION,LOW,2024-02-08 20:00:00,2024-02-10 03:00:00,THERMAL_STRESS due to environmental stress
F-090,STR-016,CORROSION,CRITICAL,2024-02-10 14:00:00,2024-02-12 03:00:00,LEAK due to environmental stress
F-030,STR-009,THERMAL_STRESS,HIGH,2024-02-11 05:00:00,2024-02-13 19:00:00,THERMAL_STRESS due to environmental stress
F-066,STR-015,LEAK,HIGH,2024-02-11 07:00:00,2024-02-12 23:00:00,THERMAL_STRESS due to environmental stress
F-112,STR-019,CORROSION,LOW,2024-02-11 22:00:00,2024-02-13 16:00:00,OVERLOAD due to environmental stress
F-096,STR-017,CORROSION,HIGH,2024-02-14 21:00:00,2024-02-17 02:00:00,CORROSION due to environmental stress
F-026,STR-009,CORROSION,MEDIUM,2024-02-15 07:00:00,2024-02-16 22:00:00,LEAK due to environmental stress
F-045,STR-012,LEAK,HIGH,2024-02-17 08:00:00,2024-02-17 22:00:00,THERMAL_STRESS due to environmental stress
F-051,STR-012,FATIGUE,HIGH,2024-02-17 19:00:00,2024-02-19 17:00:00,THERMAL_STRESS due to environmental stress
F-044,STR-011,OVERLOAD,LOW,2024-02-19 09:00:00,2024-02-20 20:00:00,OVERLOAD due to environmental stress
F-014,STR-005,CORROSION,LOW,2024-02-20 13:00:00,2024-02-22 23:00:00,FATIGUE due to environmental stress
F-040,STR-011,THERMAL_STRESS,MEDIUM,2024-02-20 17:00:00,2024-02-23 03:00:00,OVERLOAD due to environmental stress
F-039,STR-011,OVERLOAD,MEDIUM,2024-02-21 01:00:00,2024-02-23 04:00:00,FATIGUE due to environmental stress
F-008,STR-004,CORROSION,LOW,2024-02-22 14:00:00,2024-02-25 14:00:00,OVERLOAD due to environmental stress
F-043,STR-011,OVERLOAD,MEDIUM,2024-02-23 01:00:00,2024-02-25 19:00:00,CORROSION due to environmental stress
F-019,STR-008,CORROSION,LOW,2024-02-26 01:00:00,2024-02-27 04:00:00,CORROSION due to environmental stress
F-105,STR-018,THERMAL_STRESS,LOW,2024-02-26 15:00:00,2024-02-27 06:00:00,OVERLOAD due to environmental stress
F-046,STR-012,FATIGUE,LOW,2024-02-26 21:00:00,2024-02-28 21:00:00,LEAK due to environmental stress
F-130,STR-020,FATIGUE,CRITICAL,2024-02-27 02:00:00,2024-02-28 12:00:00,FATIGUE due to environmental stress
F-052,STR-013,LEAK,MEDIUM,2024-02-27 10:00:00,2024-02-29 19:00:00,OVERLOAD due to environmental stress
F-122,STR-020,FATIGUE,MEDIUM,2024-02-27 10:00:00,2024-02-29 09:00:00,LEAK due to environmental stress
F-042,STR-011,LEAK,MEDIUM,2024-02-27 21:00:00,2024-02-29 10:00:00,FATIGUE due to environmental stress
F-123,STR-020,LEAK,CRITICAL,2024-02-27 22:00:00,2024-03-01 19:00:00,THERMAL_STRESS due to environmental stress
F-053,STR-013,OVERLOAD,HIGH,2024-02-28 21:00:00,2024-03-02 03:00:00,CORROSION due to environmental stress
F-061,STR-014,THERMAL_STRESS,CRITICAL,2024-02-29 07:00:00,2024-03-01 11:00:00,FATIGUE due to environmental stress
F-048,STR-012,CORROSION,LOW,2024-03-01 11:00:00,2024-03-03 09:00:00,CORROSION due to environmental stress
F-073,STR-015,CORROSION,HIGH,2024-03-01 15:00:00,2024-03-02 00:00:00,CORROSION due to environmental stress
F-121,STR-020,FATIGUE,CRITICAL,2024-03-01 20:00:00,2024-03-04 16:00:00,LEAK due to environmental stress
F-089,STR-016,LEAK,MEDIUM,2024-03-01 23:00:00,2024-03-03 15:00:00,FATIGUE due to environmental stress
F-108,STR-018,LEAK,LOW,2024-03-02 09:00:00,2024-03-04 21:00:00,THERMAL_STRESS due to environmental stress
F-036,STR-010,THERMAL_STRESS,LOW,2024-03-02 17:00:00,2024-03-05 05:00:00,FATIGUE due to environmental stress
F-063,STR-015,CORROSION,CRITICAL,2024-03-02 19:00:00,2024-03-05 17:00:00,OVERLOAD due to environmental stress
F-128,STR-020,FATIGUE,LOW,2024-03-02 22:00:00,2024-03-05 18:00:00,THERMAL_STRESS due to environmental stress
F-111,STR-019,LEAK,LOW,2024-03-03 22:00:00,2024-03-06 16:00:00,OVERLOAD due to environmental stress
F-027,STR-009,FATIGUE,CRITICAL,2024-03-04 10:00:00,2024-03-05 01:00:00,THERMAL_STRESS due to environmental stress
F-077,STR-016,CORROSION,HIGH,2024-03-04 10:00:00,2024-03-06 11:00:00,CORROSION due to environmental stress
F-017,STR-006,CORROSION,LOW,2024-03-05 07:00:00,2024-03-05 22:00:00,FATIGUE due to environmental stress
F-069,STR-015,OVERLOAD,CRITICAL,2024-03-05 13:00:00,2024-03-06 02:00:00,CORROSION due to environmental stress
F-013,STR-005,FATIGUE,LOW,2024-03-06 13:00:00,2024-03-07 19:00:00,CORROSION due to environmental stress
F-064,STR-015,OVERLOAD,HIGH,2024-03-06 14:00:00,2024-03-08 05:00:00,THERMAL_STRESS due to environmental stress
F-120,STR-020,LEAK,MEDIUM,2024-03-06 16:00:00,2024-03-09 06:00:00,THERMAL_STRESS due to environmental stress
F-006,STR-003,OVERLOAD,CRITICAL,2024-03-08 02:00:00,2024-03-09 00:00:00,THERMAL_STRESS due to environmental stress
F-034,STR-010,FATIGUE,CRITICAL,2024-03-08 08:00:00,2024-03-08 20:00:00,LEAK due to environmental stress
F-094,STR-017,CORROSION,CRITICAL,2024-03-08 17:00:00,2024-03-10 05:00:00,CORROSION due to environmental stress
F-065,STR-015,LEAK,CRITICAL,2024-03-08 20:00:00,2024-03-10 08:00:00,FATIGUE due to environmental stress
F-091,STR-017,CORROSION,MEDIUM,2024-03-09 10:00:00,2024-03-10 15:00:00,LEAK due to environmental stress
F-060,STR-014,OVERLOAD,LOW,2024-03-09 12:00:00,2024-03-11 01:00:00,FATIGUE due to environmental stress
F-003,STR-001,OVERLOAD,HIGH,2024-03-10 19:00:00,2024-03-12 02:00:00,OVERLOAD due to environmental stress
F-023,STR-008,FATIGUE,LOW,2024-03-11 02:00:00,2024-03-12 07:00:00,OVERLOAD due to environmental stress
F-057,STR-013,FATIGUE,MEDIUM,2024-03-11 21:00:00,2024-03-13 21:00:00,LEAK due to environmental stress
F-050,STR-012,LEAK,CRITICAL,2024-03-12 17:00:00,2024-03-14 00:00:00,FATIGUE due to environmental stress
F-016,STR-006,CORROSION,MEDIUM,2024-03-14 14:00:00,2024-03-15 13:00:00,LEAK due to environmental stress
F-117,STR-019,FATIGUE,LOW,2024-03-15 15:00:00,2024-03-18 05:00:00,CORROSION due to environmental stress
F-072,STR-015,CORROSION,MEDIUM,2024-03-15 19:00:00,2024-03-17 05:00:00,LEAK due to environmental stress
F-054,STR-013,LEAK,MEDIUM,2024-03-16 00:00:00,2024-03-17 20:00:00,CORROSION due to environmental stress
F-102,STR-018,CORROSION,LOW,2024-03-16 09:00:00,2024-03-17 07:00:00,FATIGUE due to environmental stress
F-097,STR-017,CORROSION,HIGH,2024-03-16 10:00:00,2024-03-18 13:00:00,LEAK due to environmental stress
F-062,STR-014,CORROSION,MEDIUM,2024-03-17 07:00:00,2024-03-18 04:00:00,CORROSION due to environmental stress
F-107,STR-018,THERMAL_STRESS,CRITICAL,2024-03-17 13:00:00,2024-03-18 23:00:00,CORROSION due to environmental stress
F-028,STR-009,THERMAL_STRESS,MEDIUM,2024-03-18 03:00:00,2024-03-18 18:00:00,THERMAL_STRESS due to environmental stress
F-049,STR-012,FATIGUE,CRITICAL,2024-03-19 06:00:00,2024-03-20 20:00:00,FATIGUE due to environmental stress
F-103,STR-018,CORROSION,CRITICAL,2024-03-19 09:00:00,2024-03-22 03:00:00,LEAK due to environmental stress
F-083,STR-016,THERMAL_STRESS,CRITICAL,2024-03-20 00:00:00,2024-03-21 21:00:00,CORROSION due to environmental stress
F-038,STR-010,CORROSION,MEDIUM,2024-03-20 17:00:00,2024-03-21 17:00:00,FATIGUE due to environmental stress
F-055,STR-013,CORROSION,CRITICAL,2024-03-20 19:00:00,2024-03-22 18:00:00,CORROSION due to environmental stress
F-070,STR-015,THERMAL_STRESS,CRITICAL,2024-03-20 22:00:00,2024-03-21 06:00:00,CORROSION due to environmental stress
F-119,STR-020,THERMAL_STRESS,LOW,2024-03-21 00:00:00,2024-03-22 16:00:00,OVERLOAD due to environmental stress
F-075,STR-015,FATIGUE,CRITICAL,2024-03-21 18:00:00,2024-03-22 03:00:00,OVERLOAD due to environmental stress
F-004,STR-002,FATIGUE,LOW,2024-03-22 10:00:00,2024-03-25 06:00:00,LEAK due to environmental stress
F-118,STR-020,FATIGUE,MEDIUM,2024-03-23 08:00:00,2024-03-23 17:00:00,THERMAL_STRESS due to environmental stress
F-059,STR-014,CORROSION,MEDIUM,2024-03-24 02:00:00,2024-03-26 18:00:00,CORROSION due to environmental stress
